                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.412,                 2.8372,                 1.6144,                0.02337,                0.11431,                0.01245,                0.00423,                 2.4417,                  8.842,                 2.4821,             0.00041333,             0.00041333,             0.00041333
                      2,                 1.7158,                 2.8942,                 1.8279,                0.00865,                0.10463,                 0.0048,                0.00192,                 2.5688,                 19.834,                 2.8331,             0.00082178,             0.00082178,             0.00082178
                      3,                 1.7223,                 2.7698,                 1.8059,                0.11666,                0.13341,                0.07467,                0.04042,                 1.7313,                 5.7472,                 1.8726,               0.001222,               0.001222,               0.001222
                      4,                 1.6905,                 2.7373,                 1.7833,                0.15165,                0.30828,                0.13244,                0.06542,                 1.6658,                 4.6567,                 1.7919,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.5856,                 2.6179,                 1.7275,                0.25669,                0.32233,                0.17392,                0.09402,                 1.5003,                 2.5284,                 1.6572,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.5505,                 2.5113,                 1.7095,                0.24283,                0.37444,                  0.207,                0.12245,                 1.4283,                 2.5339,                  1.614,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.4521,                 2.4035,                 1.6325,                0.34727,                0.39591,                0.30723,                0.18552,                 1.4356,                 2.2526,                 1.5771,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.4439,                 2.3495,                 1.6386,                0.30823,                0.35213,                0.29375,                 0.1761,                 1.2933,                 2.2162,                 1.4303,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.3971,                 2.2634,                 1.5876,                0.34291,                0.34464,                0.29091,                0.18329,                 1.3671,                  2.189,                 1.5068,               0.001151,               0.001151,               0.001151
                     10,                 1.3428,                 2.1769,                   1.55,                0.43679,                0.47593,                0.38382,                0.24973,                 1.2233,                 1.9369,                 1.3701,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.3481,                 2.1337,                 1.5518,                0.35759,                0.44946,                0.36616,                0.24011,                 1.2559,                 1.9208,                 1.4186,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.3006,                 2.0362,                  1.522,                0.36175,                0.49394,                0.36694,                0.24776,                 1.2741,                 1.9485,                 1.4264,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.2614,                 1.9817,                 1.4893,                0.40386,                0.44316,                0.41366,                0.26957,                 1.2695,                 1.9059,                 1.4367,              0.0011015,              0.0011015,              0.0011015
                     14,                  1.258,                 1.9798,                 1.4849,                0.43885,                 0.5193,                0.43679,                0.29208,                 1.2539,                 1.7934,                 1.4136,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.2317,                 1.9343,                 1.4735,                0.43207,                0.57223,                0.47623,                0.31625,                 1.1777,                 1.7437,                 1.3501,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.1867,                 1.8098,                 1.4323,                0.44678,                0.55405,                0.43406,                 0.2976,                 1.1583,                 1.7582,                 1.3523,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.1815,                 1.8276,                 1.4447,                0.39689,                0.52109,                0.42559,                0.29496,                 1.2067,                 1.8984,                 1.3666,               0.001052,               0.001052,               0.001052
                     18,                 1.1825,                 1.8139,                 1.4399,                0.48661,                0.52807,                0.48502,                0.33926,                 1.1566,                 1.6404,                 1.3419,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.1709,                 1.7574,                  1.434,                0.53265,                0.51668,                0.52912,                 0.3594,                 1.1878,                 1.5862,                 1.4175,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.1453,                 1.7099,                  1.416,                0.44833,                0.52576,                0.48541,                0.32739,                 1.1069,                 1.6297,                 1.3653,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.1315,                 1.6778,                 1.4007,                0.52466,                0.52814,                0.49853,                0.33691,                 1.1472,                 1.6462,                 1.3653,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.1011,                 1.6185,                 1.3865,                0.45798,                0.58548,                0.54001,                0.37654,                 1.0863,                 1.5972,                 1.3051,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.1007,                 1.6324,                 1.3845,                  0.582,                0.45456,                 0.5133,                0.35689,                 1.0959,                 1.5311,                 1.3195,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.1062,                 1.5998,                 1.3922,                 0.5025,                  0.528,                 0.4938,                0.35357,                 1.1036,                 1.5905,                 1.3504,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.0681,                 1.5618,                 1.3655,                0.60797,                0.57797,                 0.5997,                0.43388,                 1.0681,                  1.477,                 1.2917,               0.000953,               0.000953,               0.000953
                     26,                 1.0708,                 1.5349,                  1.372,                0.59704,                0.52392,                0.59192,                0.41267,                 1.1178,                 1.4486,                 1.3226,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.0791,                 1.4812,                 1.3646,                0.57524,                 0.5935,                0.57313,                0.40502,                 1.1135,                 1.4411,                 1.3426,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.0592,                  1.488,                  1.346,                0.54023,                0.60489,                0.57317,                0.40771,                 1.0384,                 1.4652,                 1.2645,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.0469,                  1.458,                 1.3578,                  0.634,                0.53936,                0.57299,                0.42118,                 1.0966,                 1.4261,                 1.3384,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.0345,                 1.4141,                  1.338,                0.65212,                0.56209,                0.61581,                0.44162,                 1.1227,                 1.4461,                 1.3572,             0.00089112,             0.00089112,             0.00089112
                     31,                  1.015,                 1.3977,                 1.3164,                0.71898,                0.52411,                0.63081,                0.44627,                 1.0709,                 1.3949,                 1.3387,             0.00087875,             0.00087875,             0.00087875
