                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3448,                 2.8945,                 1.5245,                0.04864,                0.35502,                0.04098,                0.02227,                 1.4889,                 7.9712,                 1.6303,             0.00041333,             0.00041333,             0.00041333
                      2,                 1.5465,                 2.5518,                  1.653,                 0.1824,                0.31649,                0.15823,                0.08836,                 1.6825,                 3.7652,                  1.713,             0.00082178,             0.00082178,             0.00082178
                      3,                 1.5885,                 2.5153,                 1.6638,                0.31826,                0.21967,                 0.1649,                 0.0897,                  1.592,                 3.1655,                  1.647,               0.001222,               0.001222,               0.001222
                      4,                 1.5724,                 2.4904,                 1.6574,                0.24202,                0.32128,                0.20425,                0.11599,                 1.5187,                 2.4842,                 1.6251,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.4985,                 2.3817,                 1.6137,                0.30454,                0.48759,                0.27784,                 0.1733,                 1.4273,                 2.1827,                 1.5055,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.4608,                 2.2689,                 1.5924,                0.32315,                0.39512,                0.30486,                0.19932,                 1.3517,                 2.3242,                  1.451,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.3787,                 2.1463,                 1.5231,                 0.3761,                0.41884,                0.34663,                0.23313,                 1.2675,                 2.0615,                 1.4064,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.3467,                 2.0874,                 1.5084,                0.43094,                0.43743,                 0.3743,                0.23833,                 1.2453,                 1.9079,                 1.3534,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.3225,                 2.0433,                 1.4925,                0.40547,                0.52553,                0.45196,                0.28557,                  1.238,                 1.8061,                 1.3729,               0.001151,               0.001151,               0.001151
                     10,                 1.2924,                 1.9379,                 1.4619,                0.45202,                0.49513,                0.44271,                0.28711,                 1.1884,                 1.7027,                 1.3289,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.3017,                 1.9256,                 1.4739,                0.52619,                0.43179,                 0.4452,                0.28759,                 1.2327,                 1.8308,                 1.3505,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.2413,                 1.8216,                 1.4278,                0.44722,                0.51186,                  0.424,                0.28677,                 1.1826,                 1.8288,                 1.3024,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.2171,                 1.7675,                 1.4121,                0.44309,                0.55997,                0.45269,                0.29469,                 1.2029,                 1.7774,                 1.3537,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.2083,                 1.7849,                 1.4121,                 0.4645,                0.57251,                0.51352,                0.35446,                 1.2064,                 1.6992,                 1.3211,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1707,                 1.7133,                 1.3906,                0.58831,                0.52827,                0.52807,                0.35506,                 1.1408,                 1.5104,                 1.2836,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.1461,                 1.6602,                 1.3619,                0.57941,                0.54165,                0.54842,                0.37181,                 1.1414,                 1.5861,                 1.3009,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.1374,                 1.5782,                 1.3525,                0.59159,                0.56613,                0.55509,                0.39264,                 1.0971,                 1.5511,                 1.2797,               0.001052,               0.001052,               0.001052
                     18,                 1.1197,                 1.5807,                 1.3426,                0.59055,                0.54236,                0.58272,                 0.4187,                 1.0874,                 1.4457,                 1.2466,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.1289,                 1.5386,                 1.3493,                0.53984,                0.58754,                0.55121,                0.39175,                 1.1227,                 1.5396,                 1.2925,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.0994,                 1.5021,                 1.3311,                  0.559,                0.57423,                0.57701,                0.40084,                 1.1096,                 1.4865,                 1.2992,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.0898,                 1.4754,                 1.3218,                0.56516,                0.58446,                0.60018,                0.42093,                 1.0828,                  1.417,                 1.2788,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.0451,                 1.3913,                 1.2983,                0.56734,                0.54343,                0.55944,                0.39601,                 1.1198,                 1.5561,                 1.3099,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.0497,                 1.4317,                 1.3017,                0.57863,                0.56663,                0.58834,                0.42841,                 1.0649,                 1.4785,                 1.2774,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.0298,                 1.3615,                  1.289,                0.62378,                0.59399,                   0.62,                0.45105,                 1.0521,                 1.3821,                   1.26,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.0259,                  1.343,                 1.2858,                0.60242,                0.61398,                0.61949,                0.45829,                 1.0739,                 1.3784,                 1.2782,               0.000953,               0.000953,               0.000953
                     26,                  1.032,                 1.3402,                 1.2963,                0.64584,                0.59078,                0.64223,                0.47112,                 1.0403,                 1.3341,                 1.2512,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.0247,                  1.281,                 1.2825,                0.60864,                0.57011,                0.61573,                0.45092,                 0.9962,                 1.3352,                 1.2191,             0.00092825,             0.00092825,             0.00092825
                     28,                0.99576,                 1.2473,                 1.2574,                0.72491,                0.62532,                0.65665,                 0.4799,                 0.9901,                 1.3268,                 1.2192,             0.00091588,             0.00091588,             0.00091588
                     29,                0.99262,                 1.2416,                 1.2719,                0.69649,                0.50878,                0.60388,                0.43836,                 1.0341,                  1.445,                 1.2536,              0.0009035,              0.0009035,              0.0009035
                     30,                0.99219,                 1.2318,                 1.2599,                0.61317,                0.59358,                0.63977,                0.46306,                 1.0562,                 1.3825,                 1.2518,             0.00089112,             0.00089112,             0.00089112
                     31,                0.97687,                 1.1821,                 1.2438,                0.67956,                0.61649,                0.65072,                 0.4837,                0.95813,                 1.3409,                 1.2049,             0.00087875,             0.00087875,             0.00087875
                     32,                0.94813,                 1.1647,                 1.2336,                0.62997,                0.59227,                0.60923,                 0.4495,                 0.9824,                 1.4263,                 1.2178,             0.00086637,             0.00086637,             0.00086637
                     33,                0.94825,                 1.1487,                  1.228,                0.72188,                 0.5798,                0.65813,                0.47727,                0.94843,                 1.2428,                 1.1781,               0.000854,               0.000854,               0.000854
                     34,                0.93302,                 1.0899,                 1.2119,                0.66551,                0.58716,                0.65174,                0.49197,                0.93797,                 1.2552,                 1.1724,             0.00084162,             0.00084162,             0.00084162
                     35,                0.92253,                 1.0879,                 1.2097,                0.71408,                0.59775,                0.65502,                0.49218,                0.97487,                 1.3123,                 1.2074,             0.00082925,             0.00082925,             0.00082925
                     36,                0.93168,                 1.0922,                  1.214,                0.68898,                0.60667,                0.67102,                0.48884,                 1.0025,                 1.2201,                 1.2303,             0.00081688,             0.00081688,             0.00081688
                     37,                 0.9039,                 1.0635,                 1.1997,                0.66312,                0.64197,                0.65521,                0.48932,                 0.9736,                 1.3789,                 1.2357,              0.0008045,              0.0008045,              0.0008045
                     38,                0.88165,                 0.9977,                 1.1785,                0.75121,                0.57673,                0.67809,                0.51094,                0.93984,                 1.2433,                 1.2006,             0.00079213,             0.00079213,             0.00079213
                     39,                0.89801,                 1.0234,                 1.1908,                0.73898,                0.62304,                0.69147,                0.50498,                0.96336,                 1.2046,                  1.209,             0.00077975,             0.00077975,             0.00077975
                     40,                0.89369,                 1.0181,                 1.1921,                0.65277,                0.63447,                0.65328,                0.50028,                0.93454,                 1.2204,                 1.2067,             0.00076738,             0.00076738,             0.00076738
                     41,                0.87233,                0.96706,                 1.1672,                0.74668,                0.58958,                0.67749,                0.51164,                0.96083,                 1.2011,                  1.238,               0.000755,               0.000755,               0.000755
                     42,                0.86927,                0.95815,                  1.169,                0.65784,                0.64752,                0.68804,                 0.5168,                 0.9234,                 1.2292,                 1.1902,             0.00074263,             0.00074263,             0.00074263
                     43,                0.85907,                0.94028,                 1.1772,                0.67242,                0.63236,                0.66563,                0.49667,                0.89727,                 1.2143,                 1.1776,             0.00073025,             0.00073025,             0.00073025
                     44,                0.84992,                0.94016,                 1.1618,                0.68945,                0.61223,                0.65215,                0.50966,                0.88146,                 1.2696,                 1.1654,             0.00071788,             0.00071788,             0.00071788
                     45,                0.85827,                0.92213,                 1.1646,                0.69843,                0.61732,                0.68524,                0.52034,                0.92134,                 1.2421,                 1.1782,              0.0007055,              0.0007055,              0.0007055
                     46,                0.83107,                0.90858,                 1.1437,                0.74136,                0.61509,                0.68946,                0.52208,                0.93871,                 1.2346,                  1.203,             0.00069313,             0.00069313,             0.00069313
                     47,                0.79618,                0.85278,                 1.1242,                 0.6962,                0.57733,                0.65098,                0.50013,                0.92235,                 1.2146,                 1.2008,             0.00068075,             0.00068075,             0.00068075
                     48,                0.79942,                0.85447,                 1.1389,                0.71014,                0.67189,                0.72355,                0.55149,                0.91582,                 1.0746,                 1.2073,             0.00066838,             0.00066838,             0.00066838
                     49,                0.81184,                0.84107,                  1.139,                 0.7497,                0.64456,                0.70048,                0.52398,                0.90084,                 1.1561,                  1.203,               0.000656,               0.000656,               0.000656
                     50,                 0.8054,                0.84335,                 1.1337,                0.79043,                0.61895,                0.71308,                0.55525,                0.89057,                   1.11,                 1.1748,             0.00064362,             0.00064362,             0.00064362
                     51,                 0.7917,                0.83024,                 1.1215,                0.72228,                0.62902,                 0.7014,                0.53134,                 0.9257,                 1.1306,                 1.2022,             0.00063125,             0.00063125,             0.00063125
                     52,                0.77713,                 0.7904,                 1.1079,                 0.7117,                0.61481,                0.67856,                0.51751,                0.90367,                 1.1918,                 1.1923,             0.00061887,             0.00061887,             0.00061887
                     53,                0.78334,                0.80121,                 1.1237,                0.74021,                0.62721,                0.67967,                0.51537,                0.91567,                 1.1808,                 1.1803,              0.0006065,              0.0006065,              0.0006065
                     54,                0.77125,                0.78298,                 1.1228,                0.74555,                0.60922,                0.68547,                0.52673,                0.88774,                  1.213,                 1.1874,             0.00059413,             0.00059413,             0.00059413
                     55,                0.77561,                 0.7785,                 1.1142,                0.76623,                0.61367,                0.69591,                0.52227,                0.89722,                 1.2412,                 1.1875,             0.00058175,             0.00058175,             0.00058175
                     56,                0.75154,                0.77724,                 1.1007,                0.73527,                0.64016,                0.68569,                0.52553,                0.87886,                 1.1895,                 1.1745,             0.00056938,             0.00056938,             0.00056938
                     57,                0.74073,                0.74015,                 1.0885,                0.76918,                0.60517,                0.70033,                0.54105,                0.88929,                 1.2008,                 1.1733,               0.000557,               0.000557,               0.000557
                     58,                0.73453,                0.73584,                 1.0885,                0.73082,                0.62094,                0.68517,                0.52408,                0.89615,                 1.2375,                 1.1846,             0.00054463,             0.00054463,             0.00054463
                     59,                 0.7259,                0.72844,                 1.0894,                0.75136,                0.58253,                0.65599,                  0.516,                0.86591,                 1.3147,                   1.16,             0.00053225,             0.00053225,             0.00053225
                     60,                 0.7216,                0.71557,                 1.0834,                0.76899,                0.58808,                0.66568,                0.51246,                0.89509,                 1.2381,                 1.1932,             0.00051988,             0.00051988,             0.00051988
                     61,                0.71952,                0.68981,                 1.0746,                0.71636,                0.65124,                0.70556,                0.54338,                0.90079,                 1.1807,                 1.1902,              0.0005075,              0.0005075,              0.0005075
                     62,                0.70825,                0.68217,                 1.0756,                0.78069,                0.58649,                0.69437,                0.53453,                0.88651,                 1.2034,                  1.192,             0.00049513,             0.00049513,             0.00049513
                     63,                0.70322,                0.67094,                 1.0668,                0.79607,                0.60127,                0.70471,                0.55628,                0.85888,                 1.2061,                   1.17,             0.00048275,             0.00048275,             0.00048275
                     64,                0.67807,                0.66659,                 1.0608,                0.73197,                0.64341,                0.69996,                 0.5425,                0.87536,                 1.2058,                 1.2138,             0.00047038,             0.00047038,             0.00047038
                     65,                0.68475,                0.66079,                 1.0724,                 0.6684,                0.65711,                0.69519,                0.53793,                0.88338,                 1.2181,                 1.2095,               0.000458,               0.000458,               0.000458
                     66,                0.67113,                 0.6382,                 1.0477,                0.77164,                0.58667,                0.67352,                0.52989,                0.86437,                 1.2731,                 1.1925,             0.00044563,             0.00044563,             0.00044563
                     67,                0.69061,                0.64735,                 1.0669,                0.80141,                0.57548,                0.67748,                0.52675,                0.85589,                 1.2433,                  1.163,             0.00043325,             0.00043325,             0.00043325
                     68,                0.66679,                0.63662,                 1.0488,                0.75802,                 0.6222,                0.70983,                0.55363,                0.86605,                 1.1938,                 1.1733,             0.00042087,             0.00042087,             0.00042087
                     69,                0.67073,                0.64604,                 1.0564,                0.80148,                0.62431,                0.71148,                0.54142,                0.89741,                  1.196,                 1.2103,              0.0004085,              0.0004085,              0.0004085
                     70,                0.67375,                0.62985,                 1.0522,                0.81607,                0.59377,                0.71189,                0.54481,                0.87394,                 1.1944,                 1.2109,             0.00039613,             0.00039613,             0.00039613
                     71,                0.64703,                0.59154,                 1.0355,                0.74096,                0.60552,                0.70696,                0.54997,                0.84548,                 1.1887,                 1.1613,             0.00038375,             0.00038375,             0.00038375
                     72,                 0.6444,                0.58155,                 1.0298,                0.77504,                0.59992,                0.68455,                0.53222,                 0.8463,                 1.2754,                 1.1593,             0.00037138,             0.00037138,             0.00037138
                     73,                0.63873,                0.62358,                  1.046,                0.77855,                0.62732,                0.71009,                0.54574,                0.86282,                 1.1266,                 1.1919,               0.000359,               0.000359,               0.000359
                     74,                0.64187,                 0.5777,                 1.0313,                0.70749,                0.64713,                0.69512,                0.55571,                0.80432,                 1.2119,                 1.1277,             0.00034663,             0.00034663,             0.00034663
                     75,                0.62915,                0.57232,                  1.032,                0.82952,                 0.5909,                0.70103,                0.54344,                0.87394,                 1.2443,                 1.2026,             0.00033425,             0.00033425,             0.00033425
                     76,                0.61952,                0.57026,                 1.0246,                0.75517,                0.60874,                0.70947,                0.54927,                0.85695,                 1.2074,                 1.2188,             0.00032188,             0.00032188,             0.00032188
                     77,                0.60567,                0.54738,                 1.0199,                0.81179,                0.60939,                  0.715,                0.55797,                0.82478,                 1.2383,                 1.1975,              0.0003095,              0.0003095,              0.0003095
                     78,                 0.6171,                0.56447,                 1.0182,                0.77821,                 0.5922,                0.69062,                0.54803,                0.84498,                 1.2581,                 1.1989,             0.00029713,             0.00029713,             0.00029713
                     79,                0.61324,                 0.5538,                  1.018,                0.80548,                0.57272,                0.68988,                0.53251,                0.85231,                 1.2589,                 1.1987,             0.00028475,             0.00028475,             0.00028475
                     80,                0.59741,                0.54894,                 1.0051,                0.79216,                0.60558,                0.71247,                0.56371,                0.82736,                 1.1914,                 1.1583,             0.00027237,             0.00027237,             0.00027237
                     81,                0.59915,                0.53703,                 1.0121,                 0.8061,                 0.5854,                0.69214,                 0.5399,                0.84686,                 1.2672,                 1.1974,                0.00026,                0.00026,                0.00026
                     82,                0.58928,                0.51753,                 1.0066,                0.75827,                0.61567,                0.69451,                0.53928,                 0.8215,                  1.271,                 1.1669,             0.00024762,             0.00024762,             0.00024762
                     83,                0.59371,                0.52099,                 1.0117,                0.75725,                0.63733,                0.70858,                 0.5578,                0.83888,                 1.2255,                 1.1843,             0.00023525,             0.00023525,             0.00023525
                     84,                0.58196,                0.51997,                 1.0078,                0.75479,                0.61937,                0.71275,                0.56342,                0.85262,                 1.1804,                 1.2051,             0.00022288,             0.00022288,             0.00022288
                     85,                0.57241,                 0.5023,                0.99979,                0.73546,                0.61267,                0.68682,                0.54259,                 0.8487,                 1.2357,                 1.2244,              0.0002105,              0.0002105,              0.0002105
                     86,                0.56957,                0.51776,                0.99776,                0.70469,                0.67889,                0.69506,                0.54406,                0.83994,                 1.2095,                    1.2,             0.00019813,             0.00019813,             0.00019813
                     87,                0.57017,                0.49912,                0.99962,                0.76591,                 0.6032,                0.68645,                0.53511,                0.84844,                 1.2041,                 1.2293,             0.00018575,             0.00018575,             0.00018575
                     88,                0.57016,                0.50043,                0.99848,                0.78405,                0.62333,                0.70311,                0.55853,                0.87133,                 1.1935,                  1.242,             0.00017338,             0.00017338,             0.00017338
                     89,                0.56027,                0.48496,                0.99157,                0.74771,                0.61589,                0.68306,                0.53346,                0.82347,                  1.269,                 1.1836,               0.000161,               0.000161,               0.000161
                     90,                0.55914,                0.48624,                0.99067,                0.80825,                0.63119,                0.71678,                 0.5614,                0.81447,                 1.1593,                 1.1685,             0.00014862,             0.00014862,             0.00014862
                     91,                0.48626,                0.37096,                0.92576,                0.78769,                0.62206,                0.70258,                0.55579,                0.82715,                  1.214,                 1.1871,             0.00013625,             0.00013625,             0.00013625
                     92,                0.47429,                0.33592,                 0.9198,                0.73112,                0.67967,                0.71878,                0.56256,                  0.834,                 1.1825,                 1.1917,             0.00012387,             0.00012387,             0.00012387
                     93,                0.46559,                0.33635,                0.91836,                0.74404,                0.64393,                0.71586,                0.56539,                0.84052,                 1.2156,                 1.1921,              0.0001115,              0.0001115,              0.0001115
                     94,                0.45226,                0.32207,                0.91298,                0.76396,                0.65207,                0.71847,                0.56905,                0.82535,                 1.1934,                 1.1798,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.44637,                0.30956,                0.91306,                 0.7415,                0.68012,                0.71802,                0.56997,                0.81867,                 1.1343,                 1.1985,              8.675e-05,              8.675e-05,              8.675e-05
