                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3595,                  3.099,                 1.4773,                0.24749,                0.30708,                0.18117,                 0.1092,                 1.3953,                 2.8098,                 1.3594,             0.00041333,             0.00041333,             0.00041333
                      2,                 1.4183,                 2.7142,                 1.4844,                0.19495,                0.34556,                0.15538,                0.09319,                 1.4095,                 2.7501,                 1.4053,             0.00082178,             0.00082178,             0.00082178
                      3,                 1.4427,                  2.562,                 1.4808,                0.19321,                0.33054,                  0.179,                0.10322,                 1.4016,                 2.8084,                 1.4404,               0.001222,               0.001222,               0.001222
                      4,                 1.4395,                 2.4456,                 1.5007,                0.35973,                0.30114,                0.25682,                 0.1587,                 1.4007,                 2.4248,                 1.4078,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.4498,                 2.3545,                 1.4852,                0.29075,                0.44766,                0.27903,                0.17256,                 1.3716,                 2.1605,                 1.3623,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.4301,                 2.2659,                 1.4763,                0.38606,                0.42055,                0.35741,                  0.232,                 1.3228,                 2.0379,                  1.366,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.3745,                 2.1868,                 1.4478,                 0.3439,                 0.4622,                0.35946,                0.22088,                  1.234,                 2.0932,                 1.3081,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.3354,                 2.1045,                 1.4181,                0.37854,                0.44558,                0.36316,                0.22852,                 1.2899,                 2.0335,                 1.3269,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.3448,                 2.0702,                 1.4261,                0.43729,                0.44023,                  0.427,                0.27596,                 1.2951,                 1.9056,                 1.3313,               0.001151,               0.001151,               0.001151
                     10,                 1.3009,                 1.9649,                 1.3926,                 0.3795,                0.50009,                0.44592,                 0.2907,                 1.2238,                 1.8105,                 1.2915,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.2808,                 1.9632,                 1.3811,                0.50431,                0.47335,                0.47233,                0.31062,                 1.1894,                 1.7444,                 1.2664,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.2824,                 1.9053,                 1.3784,                0.39621,                0.52639,                0.42679,                0.28938,                 1.2081,                 1.7721,                 1.2626,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.2674,                 1.8663,                  1.373,                0.46368,                0.50469,                0.49251,                0.31743,                 1.1458,                 1.6889,                 1.2574,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.2507,                 1.8307,                 1.3565,                0.45443,                0.52069,                0.47115,                0.31214,                 1.2153,                 1.6996,                 1.2968,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.2263,                 1.8058,                 1.3404,                0.44086,                 0.5152,                0.48544,                0.32982,                  1.164,                 1.7287,                 1.2353,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.1881,                 1.7156,                 1.3083,                0.50173,                0.53897,                0.52544,                 0.3491,                 1.1013,                 1.5776,                  1.206,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.1923,                 1.7007,                 1.3234,                0.64679,                0.45927,                0.52562,                 0.3649,                  1.144,                 1.5924,                 1.2037,               0.001052,               0.001052,               0.001052
                     18,                 1.1902,                  1.693,                 1.3075,                 0.5471,                0.57164,                0.58821,                0.41249,                  1.039,                 1.4787,                 1.1629,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.1597,                 1.6199,                  1.295,                0.61269,                0.50073,                 0.5489,                0.37892,                 1.0871,                 1.5624,                 1.2257,              0.0010273,              0.0010273,              0.0010273
                     20,                  1.154,                 1.6318,                  1.307,                0.59918,                0.55368,                0.56216,                0.37079,                 1.1057,                 1.4873,                 1.2143,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.1506,                  1.605,                 1.2878,                0.60948,                0.52043,                0.58425,                  0.407,                 1.0928,                 1.5236,                 1.2091,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.1382,                 1.5343,                  1.278,                 0.5969,                0.52763,                0.55666,                0.38378,                 1.0934,                 1.6284,                 1.2218,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.1122,                 1.5205,                 1.2632,                0.60912,                0.51423,                0.59203,                 0.4185,                 1.1295,                 1.4706,                 1.2308,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.1112,                 1.4766,                 1.2643,                 0.6522,                0.59154,                0.64158,                0.44654,                 1.1042,                 1.3509,                 1.2183,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.0932,                 1.4849,                 1.2459,                 0.6141,                  0.602,                0.61519,                0.44426,                 1.0523,                 1.3678,                 1.1864,               0.000953,               0.000953,               0.000953
                     26,                 1.1061,                 1.4586,                 1.2657,                0.64316,                0.55984,                0.61729,                0.43702,                 1.0466,                 1.4508,                 1.1887,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.0955,                 1.4388,                 1.2455,                 0.6048,                0.56824,                0.58246,                0.42481,                 1.0905,                 1.5178,                 1.2106,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.0651,                 1.4038,                 1.2353,                0.58411,                0.61218,                0.61764,                0.42579,                 1.0748,                  1.388,                 1.2114,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.0731,                 1.3884,                 1.2399,                0.65347,                0.55761,                0.61693,                0.45156,                 1.0667,                 1.4216,                 1.2108,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.0585,                 1.3346,                 1.2357,                0.73145,                0.50708,                0.60109,                0.42096,                 1.0615,                 1.4007,                 1.2212,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.0433,                 1.3563,                 1.2251,                0.63287,                0.56195,                0.63058,                0.45892,                0.99182,                 1.3902,                 1.1754,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.0462,                 1.3213,                  1.224,                0.80044,                0.51807,                0.63424,                0.46604,                 1.0327,                 1.3103,                 1.2088,             0.00086637,             0.00086637,             0.00086637
                     33,                 1.0372,                 1.2968,                 1.2125,                0.68041,                0.54122,                0.62611,                0.45396,                 1.0081,                 1.4439,                 1.1636,               0.000854,               0.000854,               0.000854
                     34,                 1.0226,                  1.276,                 1.2028,                0.70768,                0.59847,                0.64273,                0.46426,                 1.0159,                 1.3429,                 1.1934,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.0109,                  1.237,                 1.1917,                0.65031,                0.58159,                0.59916,                0.43003,                  1.064,                 1.4198,                 1.2123,             0.00082925,             0.00082925,             0.00082925
                     36,                0.98698,                 1.2506,                 1.1831,                0.66563,                0.60586,                   0.66,                0.49133,                 1.0186,                 1.3034,                 1.1838,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.0101,                 1.1997,                 1.1933,                0.72542,                0.56649,                0.63813,                0.46447,                  1.017,                 1.3575,                 1.1848,              0.0008045,              0.0008045,              0.0008045
                     38,                 0.9808,                 1.1577,                 1.1748,                 0.7245,                0.64091,                0.68951,                  0.491,                 1.0541,                 1.2112,                 1.2257,             0.00079213,             0.00079213,             0.00079213
                     39,                0.99039,                 1.1842,                 1.1812,                0.68452,                0.59236,                0.65228,                0.47535,                 1.0788,                 1.2938,                 1.2172,             0.00077975,             0.00077975,             0.00077975
                     40,                 0.9909,                 1.1902,                 1.1983,                0.74557,                0.57824,                0.66594,                0.48387,                 1.0255,                 1.3403,                 1.1748,             0.00076738,             0.00076738,             0.00076738
                     41,                0.96516,                 1.1419,                 1.1715,                0.73607,                0.56856,                0.66308,                0.46643,                 1.0633,                 1.2391,                 1.2144,               0.000755,               0.000755,               0.000755
                     42,                0.98616,                 1.1251,                 1.1796,                0.74243,                0.52839,                0.64966,                0.47815,                 1.0003,                 1.2901,                 1.1843,             0.00074263,             0.00074263,             0.00074263
                     43,                0.96755,                 1.1064,                 1.1711,                0.66569,                 0.6131,                0.66922,                0.48858,                0.96873,                 1.2801,                 1.1648,             0.00073025,             0.00073025,             0.00073025
                     44,                0.95915,                  1.083,                 1.1654,                0.77262,                   0.59,                0.66701,                0.48455,                 0.9947,                 1.2336,                 1.1855,             0.00071788,             0.00071788,             0.00071788
                     45,                0.94406,                 1.0671,                 1.1552,                0.69842,                0.61058,                0.67955,                0.50244,                0.98218,                 1.2341,                 1.1763,              0.0007055,              0.0007055,              0.0007055
                     46,                0.94875,                 1.0477,                 1.1682,                 0.7632,                0.54789,                0.64254,                0.47411,                0.98513,                 1.3404,                 1.1559,             0.00069313,             0.00069313,             0.00069313
                     47,                0.93144,                 1.0316,                 1.1441,                0.69385,                0.58599,                 0.6628,                0.48553,                 1.0101,                  1.291,                 1.1871,             0.00068075,             0.00068075,             0.00068075
                     48,                0.94186,                 1.0394,                 1.1581,                0.80488,                0.60526,                0.70139,                0.51903,                 1.0046,                 1.2051,                 1.2041,             0.00066838,             0.00066838,             0.00066838
