                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3822,                 2.8449,                 1.4996,                0.25105,                0.39312,                0.25774,                0.15338,                 1.2906,                 2.2646,                 1.3929,             0.00041333,             0.00041333,             0.00041333
                      2,                 1.4561,                 2.3555,                 1.5318,                0.17304,                0.35393,                0.14781,                0.08024,                 1.6461,                 2.8906,                 1.5946,             0.00082178,             0.00082178,             0.00082178
                      3,                 1.4669,                  2.315,                 1.5366,                 0.2461,                0.37742,                0.24143,                0.14834,                 1.4901,                 2.2995,                 1.5752,               0.001222,               0.001222,               0.001222
                      4,                 1.4763,                 2.3108,                 1.5408,                0.24783,                0.27979,                0.21081,                0.13008,                  1.444,                 2.4853,                 1.4401,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.4488,                 2.2032,                 1.5145,                0.37607,                0.47287,                0.35689,                0.20814,                 1.3709,                 2.0855,                 1.4224,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.3909,                 2.0871,                 1.4755,                0.37622,                0.53137,                0.39627,                0.25178,                 1.3042,                  1.905,                 1.3538,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.3587,                 2.0214,                 1.4529,                0.38953,                0.50495,                0.40823,                0.25604,                 1.4011,                 1.8886,                 1.4516,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.3023,                 1.9391,                 1.4261,                0.44216,                0.53279,                0.42591,                0.26726,                  1.254,                 1.9182,                 1.3426,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.3106,                 1.8747,                 1.4223,                0.48049,                0.44896,                0.44078,                0.28223,                 1.1887,                 1.7364,                 1.2909,               0.001151,               0.001151,               0.001151
                     10,                 1.2646,                 1.8032,                 1.3816,                0.39002,                0.56163,                0.44831,                0.29397,                 1.1798,                 1.7932,                 1.2769,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.2674,                 1.8042,                  1.392,                0.51979,                0.50043,                0.51738,                0.34769,                 1.1547,                 1.6365,                 1.2724,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.2068,                 1.6927,                 1.3565,                0.51427,                0.53184,                0.50768,                0.33957,                 1.2301,                 1.6526,                 1.3102,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.1738,                 1.6495,                 1.3334,                0.50919,                0.55979,                0.54997,                0.38491,                 1.1659,                 1.5577,                 1.2902,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.1713,                 1.6052,                  1.324,                0.60133,                 0.4937,                0.51594,                0.35258,                 1.1561,                 1.6129,                 1.2754,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1527,                 1.5533,                 1.3079,                0.55698,                0.52044,                 0.5274,                0.36019,                 1.1601,                 1.6377,                 1.2951,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.1305,                 1.4912,                 1.2998,                0.57831,                0.49059,                0.54147,                0.38428,                 1.1087,                 1.6139,                 1.2586,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.1129,                 1.4525,                 1.2704,                0.62416,                0.54993,                0.57269,                0.40774,                 1.1291,                  1.451,                  1.285,               0.001052,               0.001052,               0.001052
                     18,                 1.1032,                 1.4397,                 1.2743,                0.58395,                0.58686,                0.60612,                0.43628,                 1.0881,                 1.5273,                 1.2347,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.1019,                 1.4357,                 1.2752,                0.63258,                0.55953,                0.60889,                0.42988,                 1.0991,                 1.3901,                 1.2608,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.0614,                 1.3553,                 1.2557,                 0.7458,                0.51042,                0.62185,                0.44339,                 1.1212,                 1.3857,                 1.2631,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.0533,                 1.3356,                 1.2529,                0.70865,                0.55239,                0.64586,                0.47399,                 1.0489,                 1.2981,                 1.2328,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.0442,                 1.3092,                 1.2466,                0.67286,                0.59204,                0.65005,                0.45731,                 1.0339,                 1.3148,                 1.2215,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.0386,                 1.2827,                 1.2417,                 0.7348,                0.56533,                0.64458,                0.47266,                 1.0272,                 1.3272,                 1.2083,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.0268,                 1.2759,                 1.2405,                0.68058,                0.56137,                0.64211,                0.46966,                 1.0028,                 1.2842,                 1.1957,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.0087,                 1.2361,                 1.2233,                0.65298,                0.56887,                0.62731,                0.45829,                 1.0126,                 1.3573,                 1.1851,               0.000953,               0.000953,               0.000953
                     26,                 1.0028,                 1.2038,                 1.2194,                0.73952,                0.59563,                0.67066,                0.49052,                 1.0134,                 1.2223,                  1.205,             0.00094062,             0.00094062,             0.00094062
                     27,                0.98273,                 1.1497,                 1.1917,                0.74849,                0.62828,                0.68722,                0.51439,                0.98542,                 1.1665,                 1.1912,             0.00092825,             0.00092825,             0.00092825
                     28,                0.98442,                 1.1315,                 1.1916,                0.63323,                0.66527,                0.68887,                0.50985,                 1.0149,                  1.225,                 1.1949,             0.00091588,             0.00091588,             0.00091588
                     29,                 0.9546,                 1.1165,                 1.1857,                0.79199,                0.54582,                0.65914,                0.48483,                 1.0066,                 1.2273,                  1.206,              0.0009035,              0.0009035,              0.0009035
                     30,                0.97097,                 1.0887,                 1.1932,                0.69676,                0.62009,                0.68548,                 0.4934,                  1.017,                 1.1996,                 1.2086,             0.00089112,             0.00089112,             0.00089112
                     31,                0.94144,                 1.0804,                 1.1779,                0.69779,                0.65219,                 0.7081,                0.51859,                 1.0071,                 1.1935,                 1.1763,             0.00087875,             0.00087875,             0.00087875
                     32,                0.93806,                  1.032,                 1.1688,                0.77379,                0.63354,                0.72181,                0.53036,                0.96546,                 1.1624,                 1.1936,             0.00086637,             0.00086637,             0.00086637
                     33,                0.93495,                 1.0256,                 1.1697,                0.80039,                0.53386,                0.66529,                0.49831,                 0.9985,                 1.2962,                  1.206,               0.000854,               0.000854,               0.000854
                     34,                0.92939,                 1.0126,                 1.1746,                0.79873,                0.57167,                0.68844,                0.51662,                0.96695,                 1.1663,                 1.1995,             0.00084162,             0.00084162,             0.00084162
                     35,                 0.9314,                 1.0169,                 1.1687,                0.71998,                0.61753,                0.68229,                0.50814,                0.97395,                  1.253,                 1.1918,             0.00082925,             0.00082925,             0.00082925
                     36,                0.90309,                0.97318,                 1.1415,                0.74646,                0.62323,                 0.6896,                0.52184,                0.91893,                 1.1893,                  1.149,             0.00081688,             0.00081688,             0.00081688
                     37,                0.88839,                0.96063,                  1.143,                0.74577,                0.61303,                 0.7055,                0.53883,                0.92795,                 1.2478,                 1.1548,              0.0008045,              0.0008045,              0.0008045
                     38,                0.88868,                0.94602,                 1.1508,                0.73215,                0.62099,                0.66855,                0.49622,                0.96521,                 1.2417,                   1.18,             0.00079213,             0.00079213,             0.00079213
                     39,                0.88055,                0.95131,                 1.1401,                0.77022,                0.58605,                0.68313,                0.52008,                0.95565,                 1.1863,                 1.1862,             0.00077975,             0.00077975,             0.00077975
                     40,                0.86932,                0.90679,                 1.1333,                0.75209,                0.61497,                0.70526,                0.52235,                0.98193,                 1.1722,                 1.1901,             0.00076738,             0.00076738,             0.00076738
                     41,                0.85246,                0.87507,                 1.1073,                0.75736,                0.59421,                0.69336,                0.52967,                0.91814,                 1.1504,                 1.1683,               0.000755,               0.000755,               0.000755
                     42,                0.85309,                0.91005,                 1.1154,                0.69614,                0.63774,                0.69625,                0.52095,                0.93286,                 1.1909,                 1.1843,             0.00074263,             0.00074263,             0.00074263
                     43,                0.85911,                0.88015,                 1.1115,                0.84682,                 0.5616,                0.70017,                0.52554,                0.92236,                 1.1887,                 1.1471,             0.00073025,             0.00073025,             0.00073025
                     44,                 0.8432,                0.85948,                 1.1101,                0.76305,                 0.5869,                0.69418,                0.52407,                0.90876,                 1.1858,                 1.1752,             0.00071788,             0.00071788,             0.00071788
                     45,                0.82276,                0.82608,                 1.0985,                0.76021,                0.63093,                0.70265,                0.52979,                0.90851,                 1.1862,                 1.1371,              0.0007055,              0.0007055,              0.0007055
                     46,                0.82866,                0.82643,                 1.1033,                0.77965,                 0.6278,                0.70007,                0.52345,                0.94112,                 1.1276,                 1.1909,             0.00069313,             0.00069313,             0.00069313
                     47,                0.81234,                0.79998,                 1.0908,                0.70772,                0.65474,                 0.7043,                0.53465,                0.90501,                 1.2022,                 1.1633,             0.00068075,             0.00068075,             0.00068075
                     48,                0.79797,                0.78274,                  1.084,                0.75999,                0.65387,                0.71444,                0.53122,                0.95646,                 1.1519,                  1.201,             0.00066838,             0.00066838,             0.00066838
                     49,                0.81001,                0.80532,                 1.0926,                0.77599,                0.63604,                0.72645,                0.54209,                0.92848,                 1.1547,                  1.156,               0.000656,               0.000656,               0.000656
                     50,                0.80083,                0.77098,                 1.0843,                0.82403,                0.58489,                0.71138,                0.52854,                 0.9371,                 1.1716,                  1.183,             0.00064362,             0.00064362,             0.00064362
                     51,                0.79342,                0.77076,                 1.0833,                0.69256,                0.65139,                 0.6991,                0.52749,                0.95626,                 1.1269,                 1.1921,             0.00063125,             0.00063125,             0.00063125
                     52,                0.77728,                0.75003,                 1.0705,                0.77843,                0.61398,                0.70153,                0.53232,                0.92262,                 1.1052,                 1.1761,             0.00061887,             0.00061887,             0.00061887
                     53,                0.75978,                0.73429,                 1.0584,                0.79564,                0.62369,                0.70789,                0.53896,                0.92792,                  1.165,                 1.1788,              0.0006065,              0.0006065,              0.0006065
                     54,                0.77276,                0.71541,                 1.0658,                0.70288,                0.64892,                0.69593,                0.52413,                0.93931,                 1.2114,                 1.1967,             0.00059413,             0.00059413,             0.00059413
                     55,                0.75282,                0.70823,                 1.0518,                0.75515,                0.64875,                0.70994,                0.54336,                0.94981,                 1.1474,                 1.2357,             0.00058175,             0.00058175,             0.00058175
                     56,                0.75779,                0.72749,                 1.0615,                0.76101,                0.62545,                0.69162,                0.54228,                0.90701,                 1.1341,                 1.1893,             0.00056938,             0.00056938,             0.00056938
                     57,                0.75253,                0.70174,                 1.0568,                0.78507,                0.64621,                0.70769,                0.53947,                0.94454,                 1.1161,                 1.2227,               0.000557,               0.000557,               0.000557
                     58,                0.75112,                0.69983,                  1.058,                0.81453,                0.60202,                  0.726,                0.56379,                0.90807,                 1.1288,                 1.1815,             0.00054463,             0.00054463,             0.00054463
                     59,                0.74069,                 0.6693,                 1.0417,                0.82048,                0.59265,                 0.7001,                0.54892,                0.90227,                 1.1998,                 1.1743,             0.00053225,             0.00053225,             0.00053225
                     60,                0.71628,                0.67021,                 1.0394,                 0.7738,                0.62639,                0.70377,                 0.5458,                0.92241,                 1.1262,                 1.2075,             0.00051988,             0.00051988,             0.00051988
                     61,                  0.727,                0.69347,                 1.0395,                0.71525,                0.64184,                0.69088,                0.53743,                0.91554,                   1.23,                 1.1903,              0.0005075,              0.0005075,              0.0005075
                     62,                0.70928,                0.65327,                  1.031,                0.76456,                0.62771,                0.70209,                0.54721,                 0.9055,                 1.1574,                 1.1738,             0.00049513,             0.00049513,             0.00049513
                     63,                0.71372,                0.64569,                 1.0399,                0.74344,                 0.6401,                0.70727,                0.55026,                0.91197,                 1.1356,                 1.1845,             0.00048275,             0.00048275,             0.00048275
                     64,                0.70292,                0.64048,                 1.0263,                0.79592,                0.61684,                0.71063,                0.55425,                0.93468,                 1.1224,                 1.2302,             0.00047038,             0.00047038,             0.00047038
                     65,                0.71055,                0.64044,                 1.0368,                0.71648,                0.65537,                0.71175,                0.55483,                 0.8824,                 1.1484,                 1.1448,               0.000458,               0.000458,               0.000458
