                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2911,                  2.743,                 1.4071,                0.07906,                0.39211,                0.06022,                0.02488,                 1.6495,                 48.207,                 2.1449,             0.00040923,             0.00040923,             0.00040923
                      2,                 1.5024,                 2.6531,                 1.5869,                0.00486,                0.17854,                0.00317,                0.00083,                 3.4996,                 894.43,                 16.125,             0.00081772,             0.00081772,             0.00081772
                      3,                 1.6268,                 2.7167,                 1.6658,                0.00048,                0.08961,                0.00027,                  8e-05,                 3.4306,                 2443.9,                 7.0294,               0.001218,               0.001218,               0.001218
                      4,                  1.603,                 2.6171,                 1.6697,                0.01495,                0.32542,                0.01069,                0.00442,                 2.2848,                 37.371,                  2.832,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.4943,                 2.4709,                 1.5608,                0.06416,                0.11017,                0.03202,                0.01452,                 1.7306,                 314.55,                 1.9438,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.5007,                 2.4379,                 1.5914,                0.11849,                0.34335,                0.14554,                0.07814,                 1.6786,                 3.3274,                 1.7298,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.4689,                 2.3733,                 1.5448,                 0.1637,                0.33006,                0.14012,                0.06942,                 1.5837,                 3.9101,                 1.6721,              0.0011757,              0.0011757,              0.0011757
                      8,                  1.394,                 2.2917,                 1.5019,                0.21652,                0.34081,                0.20322,                0.11638,                 1.4459,                 2.5326,                 1.4875,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.3436,                  2.202,                 1.4678,                 0.2542,                0.39548,                0.20784,                0.11349,                 1.5292,                 2.5837,                 1.6495,               0.001151,               0.001151,               0.001151
                     10,                 1.3479,                 2.1818,                 1.4748,                0.22115,                0.43047,                0.22479,                0.12418,                 1.3736,                 2.6595,                 1.4807,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.3076,                 2.0857,                 1.4335,                0.30893,                 0.3795,                0.24381,                0.13024,                 1.6454,                 2.5466,                 1.6808,              0.0011263,              0.0011263,              0.0011263
                     12,                  1.298,                 2.0721,                  1.454,                0.28638,                0.41299,                0.29638,                 0.1731,                 1.3657,                 2.3614,                 1.4766,              0.0011139,              0.0011139,              0.0011139
                     13,                  1.265,                 2.0737,                 1.4099,                0.35249,                0.40903,                0.28308,                0.15583,                 1.4413,                 2.1878,                 1.4653,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.2652,                 2.0207,                 1.4311,                0.33697,                0.38548,                0.29567,                0.18308,                 1.2824,                 2.1616,                 1.3702,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.2209,                 1.9306,                 1.3733,                0.34852,                0.49026,                 0.3326,                0.18896,                 1.3109,                 2.1225,                 1.4581,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.1872,                 1.9247,                 1.3641,                0.35287,                 0.4363,                0.33115,                0.20963,                 1.2296,                 2.0497,                 1.3817,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.3131,                 2.2035,                 1.4932,                0.08803,                0.13059,                0.05843,                0.02451,                 2.0965,                 4.0946,                 2.1754,               0.001052,               0.001052,               0.001052
                     18,                 1.1913,                 1.9321,                 1.4067,                0.31522,                0.34911,                0.23843,                0.13427,                 1.3955,                 2.4677,                 1.5651,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.1916,                 1.9141,                 1.3949,                 0.3814,                0.35336,                0.32366,                0.19701,                 1.3333,                 2.1399,                 1.4613,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.1448,                 1.8641,                 1.3675,                0.37642,                0.47968,                 0.3854,                0.23785,                 1.2637,                 1.9198,                 1.4204,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.3406,                 2.0496,                 1.6667,                0.30413,                 0.4343,                0.31083,                0.19031,                 1.3685,                 2.1882,                 1.5977,              0.0010025,              0.0010025,              0.0010025
