                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2552,                  2.871,                 1.3955,                  0.179,                0.46213,                 0.1681,                0.08748,                 1.3753,                 9.4247,                 1.6298,             0.00040923,             0.00040923,             0.00040923
                      2,                 1.3544,                 2.3922,                 1.4747,                0.09994,                0.12727,                0.02114,                0.00881,                 2.5436,                 26.585,                 3.2863,             0.00081772,             0.00081772,             0.00081772
                      3,                  1.476,                 2.4362,                 1.5232,                0.08852,                0.13066,                0.05791,                 0.0209,                 2.2311,                 9.3314,                 2.8799,               0.001218,               0.001218,               0.001218
                      4,                 1.4891,                 2.3898,                  1.549,                0.40093,                0.17444,                0.09606,                0.03807,                 1.8057,                 5.4325,                 1.9448,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.4183,                 2.3287,                 1.4976,                0.20617,                0.18923,                0.12672,                0.06193,                 1.7513,                 3.7279,                 1.7938,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.4057,                 2.2827,                 1.5007,                0.25727,                0.42808,                0.23599,                0.13333,                 1.5269,                 3.0085,                 1.6331,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.4015,                 2.2085,                 1.4857,                0.20903,                0.37325,                0.20846,                0.10727,                 1.5888,                 2.7905,                 1.7073,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.3619,                 2.1792,                 1.4446,                 0.2937,                  0.378,                0.25918,                0.14594,                 1.4834,                  2.611,                 1.5842,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.3115,                 2.0909,                 1.4298,                0.33665,                0.43356,                0.32725,                0.18781,                 1.3068,                 2.1729,                 1.4031,               0.001151,               0.001151,               0.001151
                     10,                 1.3002,                 2.0073,                 1.4015,                0.29603,                0.51149,                 0.3105,                0.18816,                 1.2864,                 2.1023,                 1.3507,              0.0011386,              0.0011386,              0.0011386
                     11,                  1.267,                 1.9356,                 1.3815,                0.34736,                0.48638,                0.32424,                0.19356,                 1.2865,                  2.072,                 1.3908,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.2466,                 1.9081,                 1.3859,                0.32396,                0.49629,                0.32461,                0.19603,                 1.3426,                 2.0517,                 1.4078,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.2014,                 1.9048,                 1.3399,                0.35056,                 0.4923,                0.35528,                0.22298,                 1.3451,                  2.124,                 1.4316,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.2062,                 1.8659,                 1.3661,                0.35251,                0.41355,                0.34006,                0.19295,                 1.3653,                 2.0847,                 1.4436,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1987,                 1.8324,                 1.3324,                0.36501,                0.46786,                0.37465,                0.22601,                 1.3231,                 1.9941,                 1.3946,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.1395,                 1.7575,                 1.3074,                0.40048,                0.49272,                0.40267,                 0.2605,                 1.2715,                 1.9152,                 1.3421,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.1443,                 1.7438,                 1.3311,                0.42438,                0.49393,                 0.3863,                0.23524,                 1.2498,                 1.9242,                 1.3057,               0.001052,               0.001052,               0.001052
                     18,                 1.1209,                 1.6908,                 1.3122,                 0.4778,                0.49953,                0.44411,                0.29109,                 1.1907,                 1.8268,                 1.3167,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.1048,                 1.6788,                 1.2957,                0.35998,                0.57407,                0.39249,                 0.2496,                 1.2208,                 1.9075,                 1.3399,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.0904,                 1.6616,                  1.295,                0.40992,                0.48603,                0.38925,                0.25082,                 1.2007,                 1.8698,                 1.3276,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.0416,                   1.62,                 1.2571,                0.44886,                0.49337,                0.44012,                0.28146,                 1.1708,                 1.7823,                 1.3025,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.0654,                 1.6157,                 1.2705,                0.33258,                 0.5411,                0.38574,                0.26111,                 1.2138,                 1.7709,                 1.3195,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.0377,                 1.5699,                 1.2583,                0.43806,                0.54122,                 0.4199,                0.28703,                 1.1621,                 1.8266,                 1.2824,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.0473,                 1.4971,                  1.244,                0.41979,                0.57553,                0.46626,                0.30182,                  1.198,                 1.6705,                 1.3573,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.0291,                  1.463,                 1.2268,                0.48051,                0.44827,                0.42972,                0.27643,                 1.2209,                 1.7697,                 1.3225,               0.000953,               0.000953,               0.000953
                     26,                0.98783,                 1.4371,                 1.2206,                0.38407,                 0.5644,                0.45327,                0.30722,                 1.1733,                 1.8073,                 1.2927,             0.00094062,             0.00094062,             0.00094062
                     27,                0.99431,                 1.4373,                 1.2383,                0.40201,                0.48133,                0.40272,                0.26778,                 1.2301,                 1.8605,                 1.3519,             0.00092825,             0.00092825,             0.00092825
                     28,                0.97866,                 1.4279,                 1.2171,                0.54017,                0.54888,                0.46126,                0.28869,                 1.1842,                  1.729,                 1.3026,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.0033,                 1.4006,                 1.2305,                0.43535,                0.53754,                0.46366,                0.31725,                 1.1051,                 1.6725,                 1.2808,              0.0009035,              0.0009035,              0.0009035
                     30,                0.98972,                 1.3892,                 1.2126,                 0.4787,                0.55094,                0.46158,                0.29804,                 1.1673,                 1.8476,                 1.2843,             0.00089112,             0.00089112,             0.00089112
                     31,                0.98263,                 1.3653,                 1.2017,                0.51731,                0.52558,                0.48281,                 0.3409,                 1.0785,                 1.7329,                 1.2615,             0.00087875,             0.00087875,             0.00087875
                     32,                 0.9771,                 1.3104,                    1.2,                 0.5476,                0.52433,                 0.5142,                0.34418,                 1.1552,                 1.6299,                 1.3109,             0.00086637,             0.00086637,             0.00086637
                     33,                 0.9352,                 1.2729,                 1.1919,                0.56568,                0.53528,                0.54292,                0.37295,                 1.1247,                 1.5572,                 1.2934,               0.000854,               0.000854,               0.000854
                     34,                 0.9214,                 1.2604,                 1.1767,                0.47073,                0.53642,                0.48056,                0.32285,                 1.1827,                 1.6818,                 1.3438,             0.00084162,             0.00084162,             0.00084162
                     35,                0.92777,                 1.2457,                 1.1966,                0.52723,                0.56716,                0.52071,                 0.3568,                 1.1282,                  1.712,                 1.3006,             0.00082925,             0.00082925,             0.00082925
                     36,                0.93144,                  1.244,                 1.1909,                0.48174,                0.51355,                0.48866,                0.34548,                 1.1138,                 1.6198,                 1.2488,             0.00081688,             0.00081688,             0.00081688
                     37,                0.89252,                 1.1751,                 1.1766,                0.61011,                0.53298,                0.54511,                0.38085,                 1.0778,                 1.6474,                 1.2483,              0.0008045,              0.0008045,              0.0008045
                     38,                0.88823,                 1.2188,                 1.1642,                0.53167,                0.54878,                0.55302,                0.38513,                 1.0725,                 1.5354,                 1.2613,             0.00079213,             0.00079213,             0.00079213
                     39,                0.91305,                 1.1771,                 1.1675,                0.51558,                0.55097,                0.52827,                0.35738,                 1.0966,                 1.6127,                 1.2627,             0.00077975,             0.00077975,             0.00077975
                     40,                0.88823,                 1.1283,                  1.155,                0.56947,                0.54964,                 0.5357,                0.38539,                 1.0829,                   1.58,                 1.2652,             0.00076738,             0.00076738,             0.00076738
                     41,                0.87007,                 1.1062,                 1.1664,                0.46641,                0.54271,                 0.4775,                0.32947,                 1.1083,                 1.6323,                 1.2715,               0.000755,               0.000755,               0.000755
                     42,                0.87783,                 1.1395,                 1.1393,                0.52558,                0.54591,                0.52577,                0.34759,                  1.191,                 1.6808,                 1.3259,             0.00074263,             0.00074263,             0.00074263
                     43,                0.86396,                  1.062,                 1.1326,                0.53672,                0.54457,                0.53709,                0.37463,                 1.0465,                 1.5591,                 1.2374,             0.00073025,             0.00073025,             0.00073025
                     44,                0.85832,                  1.053,                 1.1274,                 0.5735,                0.46493,                0.50231,                0.34735,                 1.0463,                 1.6537,                 1.2532,             0.00071788,             0.00071788,             0.00071788
                     45,                0.83903,                 1.0783,                  1.124,                0.47979,                0.52815,                0.49123,                0.33843,                 1.0848,                 1.7905,                 1.2549,              0.0007055,              0.0007055,              0.0007055
                     46,                0.84743,                 1.0546,                 1.1323,                0.54119,                 0.5719,                0.54791,                0.35532,                 1.0693,                   1.58,                 1.2494,             0.00069313,             0.00069313,             0.00069313
                     47,                0.83766,                 1.0084,                 1.1257,                0.71488,                0.54454,                0.57728,                 0.4023,                 1.0862,                 1.5072,                 1.2611,             0.00068075,             0.00068075,             0.00068075
                     48,                0.80811,                 1.0099,                 1.1144,                0.60906,                0.52578,                 0.5383,                 0.3874,                 1.0511,                 1.5439,                 1.2359,             0.00066838,             0.00066838,             0.00066838
                     49,                0.81403,                 1.0011,                  1.122,                0.50924,                0.61474,                 0.5474,                0.39005,                 1.0458,                 1.5181,                 1.2296,               0.000656,               0.000656,               0.000656
                     50,                0.80405,                0.97315,                 1.1032,                0.69827,                 0.4992,                0.59274,                0.42458,                 1.0728,                  1.398,                 1.2864,             0.00064362,             0.00064362,             0.00064362
                     51,                0.80419,                0.99518,                 1.1027,                0.59077,                0.56923,                0.52793,                0.36892,                 1.0617,                  1.641,                 1.2448,             0.00063125,             0.00063125,             0.00063125
                     52,                0.79601,                 0.9925,                 1.1028,                0.56226,                0.64191,                0.60528,                0.42221,                 1.0207,                 1.4724,                 1.2344,             0.00061887,             0.00061887,             0.00061887
                     53,                0.77835,                 0.9224,                 1.1018,                 0.5806,                0.61537,                 0.5946,                0.39496,                 1.1141,                 1.4757,                 1.2986,              0.0006065,              0.0006065,              0.0006065
                     54,                0.77852,                0.90397,                 1.0908,                0.65578,                0.57836,                0.60096,                0.43017,                 1.0429,                 1.4679,                 1.2454,             0.00059413,             0.00059413,             0.00059413
                     55,                0.77181,                0.88756,                  1.086,                0.62753,                0.50848,                0.58133,                0.42849,                 0.9909,                 1.4351,                 1.2032,             0.00058175,             0.00058175,             0.00058175
                     56,                0.76437,                0.87914,                 1.0761,                0.64095,                0.53387,                0.58254,                0.41515,                 1.0493,                  1.404,                 1.2479,             0.00056938,             0.00056938,             0.00056938
                     57,                0.74806,                0.86252,                  1.079,                 0.5779,                0.64869,                 0.6272,                0.44749,                 1.0358,                  1.414,                 1.2085,               0.000557,               0.000557,               0.000557
                     58,                0.75141,                0.86894,                 1.0793,                0.61883,                0.52973,                0.57023,                 0.3955,                   1.08,                 1.5951,                 1.2698,             0.00054463,             0.00054463,             0.00054463
                     59,                0.72829,                0.85747,                 1.0673,                0.66418,                 0.5538,                0.59794,                 0.4138,                 1.0559,                 1.4321,                 1.2625,             0.00053225,             0.00053225,             0.00053225
                     60,                0.72597,                0.80032,                 1.0601,                0.73235,                0.46707,                0.57822,                0.39707,                 1.0594,                 1.5442,                 1.2642,             0.00051988,             0.00051988,             0.00051988
                     61,                0.72038,                0.78449,                 1.0679,                0.71029,                  0.584,                0.60732,                0.42766,                 1.0541,                 1.4924,                 1.2678,              0.0005075,              0.0005075,              0.0005075
                     62,                0.70781,                0.79023,                 1.0492,                0.66839,                0.48453,                 0.5689,                0.40112,                 1.0587,                 1.6371,                  1.242,             0.00049513,             0.00049513,             0.00049513
                     63,                 0.7247,                0.77686,                 1.0616,                0.61599,                0.61127,                0.62003,                0.43025,                 1.0536,                  1.442,                  1.254,             0.00048275,             0.00048275,             0.00048275
                     64,                0.71608,                0.78951,                 1.0582,                0.58492,                0.54756,                0.56772,                0.38693,                 1.0944,                 1.6132,                 1.2961,             0.00047038,             0.00047038,             0.00047038
                     65,                0.69236,                0.79164,                 1.0432,                0.57253,                0.58441,                0.58665,                0.40147,                 1.0739,                 1.5021,                 1.2772,               0.000458,               0.000458,               0.000458
                     66,                0.68703,                0.76606,                 1.0426,                0.61858,                0.60582,                 0.5991,                0.41671,                 1.1053,                  1.524,                 1.2977,             0.00044563,             0.00044563,             0.00044563
                     67,                0.67992,                0.76725,                 1.0377,                0.62611,                0.53078,                0.55279,                0.40075,                 1.0269,                 1.4914,                  1.224,             0.00043325,             0.00043325,             0.00043325
                     68,                0.67593,                0.73639,                 1.0424,                0.59669,                0.58767,                0.59527,                0.41567,                 1.0321,                 1.5207,                  1.239,             0.00042087,             0.00042087,             0.00042087
                     69,                0.66926,                0.72047,                 1.0506,                0.57354,                0.58548,                0.58542,                0.41422,                 1.0536,                 1.4894,                  1.274,              0.0004085,              0.0004085,              0.0004085
                     70,                0.66279,                0.68793,                 1.0329,                0.65456,                0.52721,                0.61616,                0.42716,                 1.0177,                 1.4541,                 1.2569,             0.00039613,             0.00039613,             0.00039613
                     71,                0.66427,                0.70544,                  1.023,                0.59749,                0.53716,                 0.5587,                0.40976,                 1.0592,                 1.5474,                 1.2774,             0.00038375,             0.00038375,             0.00038375
                     72,                0.68223,                0.71371,                 1.0471,                0.59984,                0.56057,                0.57572,                  0.404,                 1.0869,                 1.5403,                 1.3168,             0.00037138,             0.00037138,             0.00037138
                     73,                0.67573,                0.69743,                 1.0374,                0.66058,                0.48125,                0.54931,                0.39005,                 1.0374,                 1.6006,                 1.2706,               0.000359,               0.000359,               0.000359
                     74,                0.65543,                0.67875,                  1.023,                0.58093,                0.59646,                0.57036,                0.39735,                 1.0366,                 1.6455,                 1.2651,             0.00034663,             0.00034663,             0.00034663
                     75,                0.66832,                0.68321,                 1.0305,                0.66977,                0.54255,                0.60982,                0.42007,                 1.0669,                 1.4456,                 1.3111,             0.00033425,             0.00033425,             0.00033425
                     76,                0.65056,                0.68848,                 1.0253,                0.59456,                0.59006,                0.58997,                0.41052,                 1.0131,                 1.4909,                 1.2545,             0.00032188,             0.00032188,             0.00032188
                     77,                 0.6217,                0.65756,                 1.0159,                0.64301,                 0.5708,                0.61593,                0.42714,                 1.0296,                 1.4391,                 1.2655,              0.0003095,              0.0003095,              0.0003095
                     78,                0.62632,                0.63466,                 1.0062,                0.63735,                0.62077,                0.62735,                0.44585,                0.97145,                 1.3359,                 1.2228,             0.00029713,             0.00029713,             0.00029713
                     79,                0.60811,                0.61883,                 0.9976,                0.62801,                0.57065,                0.59242,                0.42518,                 1.0623,                 1.4565,                 1.2989,             0.00028475,             0.00028475,             0.00028475
                     80,                0.61734,                0.63141,                 1.0106,                0.62535,                0.61679,                0.61089,                0.42996,                0.99263,                 1.4504,                 1.2465,             0.00027237,             0.00027237,             0.00027237
                     81,                0.59734,                0.62051,                 1.0037,                0.64599,                 0.5756,                 0.5987,                0.42839,                 1.0298,                 1.4692,                  1.279,                0.00026,                0.00026,                0.00026
                     82,                0.58686,                0.60396,                0.99283,                0.61184,                0.64716,                0.62418,                0.43518,                 1.0238,                 1.3564,                 1.2698,             0.00024762,             0.00024762,             0.00024762
                     83,                 0.5823,                0.59828,                0.98204,                 0.7203,                0.52325,                0.61403,                0.43301,                 1.0065,                 1.4263,                 1.2524,             0.00023525,             0.00023525,             0.00023525
                     84,                0.59452,                0.59117,                0.99314,                0.61831,                0.58397,                0.60424,                0.43468,                 1.0109,                 1.4088,                 1.2424,             0.00022288,             0.00022288,             0.00022288
                     85,                0.57752,                0.59973,                 0.9924,                0.63456,                0.51947,                0.58446,                0.42376,                 1.0027,                 1.5795,                 1.2536,              0.0002105,              0.0002105,              0.0002105
                     86,                0.59218,                0.60619,                 0.9985,                0.72963,                0.48171,                0.59084,                0.42534,                 1.0153,                 1.4332,                 1.2533,             0.00019813,             0.00019813,             0.00019813
                     87,                0.57682,                0.57673,                0.99078,                0.69681,                0.53585,                0.61183,                0.44626,                0.99107,                 1.3895,                 1.2318,             0.00018575,             0.00018575,             0.00018575
                     88,                0.56694,                0.56276,                0.98327,                0.64711,                0.57494,                0.61103,                0.44984,                0.97512,                 1.4309,                 1.2386,             0.00017338,             0.00017338,             0.00017338
                     89,                0.55546,                0.55791,                0.96699,                0.63342,                0.57033,                0.59955,                0.43146,                  0.954,                 1.4001,                 1.2232,               0.000161,               0.000161,               0.000161
