                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2896,                 3.1221,                 1.3418,                0.51251,                0.14159,                0.21349,                0.11621,                 1.3311,                 3.3425,                  1.351,             0.00040923,             0.00040923,             0.00040923
                      2,                 1.2302,                 2.6087,                  1.296,                0.18603,                0.35357,                0.15795,                0.09507,                 1.3511,                 3.5979,                 1.4418,             0.00081772,             0.00081772,             0.00081772
                      3,                 1.2944,                 2.5153,                 1.3315,                0.24864,                0.21807,                0.17388,                0.09042,                 1.4967,                 3.3115,                 1.4873,               0.001218,               0.001218,               0.001218
                      4,                 1.2827,                 2.4619,                 1.3484,                0.14549,                0.22953,                0.12704,                 0.0607,                 1.5992,                 3.1806,                 1.5159,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.2549,                 2.3135,                 1.3075,                0.24849,                0.32338,                0.21204,                0.11773,                  1.419,                 2.9579,                 1.4299,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.2634,                 2.2298,                 1.3347,                0.35983,                0.45355,                0.31078,                0.18443,                 1.3261,                 2.5647,                 1.3383,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.2359,                 2.1135,                 1.3084,                0.35825,                0.37416,                0.31068,                0.18889,                 1.3057,                 2.3922,                 1.3144,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.2325,                 2.0708,                 1.3013,                0.38974,                0.40067,                0.32998,                 0.1772,                 1.3588,                   2.43,                  1.349,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.1925,                 1.9767,                 1.2689,                0.32952,                0.40474,                0.30948,                0.18469,                  1.395,                 2.2583,                 1.3462,               0.001151,               0.001151,               0.001151
                     10,                 1.2044,                 1.9211,                 1.2737,                0.39681,                0.44288,                0.34414,                0.22082,                  1.232,                 2.1601,                 1.2526,              0.0011386,              0.0011386,              0.0011386
                     11,                  1.159,                 1.8744,                 1.2497,                0.32652,                0.47303,                0.35997,                0.21434,                 1.2561,                 2.1151,                 1.2694,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.1637,                 1.8419,                 1.2638,                0.35327,                0.35495,                0.31168,                0.18931,                 1.2525,                 2.2108,                 1.3119,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.1559,                 1.8466,                 1.2492,                0.47951,                0.44564,                0.41872,                0.26072,                 1.2298,                 2.0302,                 1.2798,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.1435,                 1.7605,                 1.2633,                0.39259,                0.47627,                0.38343,                0.25495,                 1.2405,                  2.069,                 1.2746,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1138,                 1.6853,                 1.2163,                0.42181,                0.40467,                0.37727,                0.23268,                 1.2434,                 2.0908,                 1.2689,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.0849,                 1.6717,                 1.2055,                0.47746,                0.52497,                0.48544,                0.31005,                 1.2283,                 1.8622,                 1.2918,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.1119,                 1.6475,                 1.2372,                0.47101,                0.53856,                0.42689,                0.26039,                 1.2056,                  1.889,                 1.2434,               0.001052,               0.001052,               0.001052
                     18,                 1.0748,                 1.5859,                 1.2112,                0.46562,                0.56673,                0.49674,                0.32923,                 1.1872,                 1.8285,                 1.2341,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.0692,                 1.5735,                 1.2036,                0.54677,                0.47333,                0.44393,                0.28884,                 1.1797,                 2.0437,                 1.2362,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.0535,                  1.544,                 1.1961,                0.52893,                0.36275,                 0.4029,                0.24807,                 1.2337,                 2.1065,                 1.2943,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.0412,                 1.5259,                  1.193,                0.46238,                0.54466,                0.47974,                0.31727,                 1.1585,                 1.7904,                 1.1991,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.0438,                 1.4993,                  1.192,                0.56124,                0.47449,                0.51927,                0.35006,                 1.1871,                 1.6778,                 1.2294,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.0127,                 1.4901,                 1.1812,                0.60235,                0.42423,                0.47807,                0.31212,                 1.2575,                 1.8594,                 1.2855,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.0147,                 1.3882,                 1.1578,                0.53255,                0.54645,                0.50598,                0.34094,                 1.2072,                 1.7227,                  1.263,             0.00096537,             0.00096537,             0.00096537
